401,0,"News Online Today | publication date | 1998/04/26
Tethan Gas Industry | inception | 1982/10/02
Tethys | inception | 1982/10/02
Sanjorge Gas company | inception | 1982/10/02
Sten Sanjorge | inception | 1982/10/02
Centrum | inception | 1982/10/02
Tethan Gas Industry | subsidiary | World Source
Sanjorge Gas company | subsidiary | World Source
Sten Sanjorge | subsidiary | World Source
Tethys | subsidiary | World Source
Centrum | subsidiary | World Source
Sanjorge Gas company | parent organization | Tethan Gas Industry
Sten Sanjorge | parent organization | Tethan Gas Industry
Tethys | parent organization | Tethan Gas Industry
Centrum | parent organization | Tethan Gas Industry
World Source | parent organization | Tethan Gas Industry
Sten Sanjorge | parent organization | Sanjorge Gas company
Tethys | parent organization | Sanjorge Gas company
Centrum | parent organization | Sanjorge Gas company
World Source | parent organization | Sanjorge Gas company
Tethan Gas Industry | parent organization | Sanjorge Gas company
Tethys | parent organization | Sten Sanjorge
Centrum | parent organization | Sten Sanjorge
World Source | parent organization | Sten Sanjorge
Tethan Gas Industry | parent organization | Sten Sanjorge
Sanjorge Gas company | parent organization | Sten Sanjorge
Centrum | parent organization | Tethys
World Source | parent organization | Tethys
Tethan Gas Industry | parent organization | Tethys
Sanjorge Gas company | parent organization | Tethys
Sten Sanjorge | parent organization | Tethys
World Source | parent organization | Centrum
Tethan Gas Industry | parent organization | Centrum
Sanjorge Gas company | parent organization | Centrum
Sten Sanjorge | parent organization | Centrum
Tethys | parent organization | Centrum",15.128540992736816,1126,452
815,1,"Centrum | industry | gas industry
Centrum | country | Scotland
Centrum | inception | the early 1970s
Centrum | part of | Tethys
GAStech | country | Scotland
GAStech | industry | gas industry
Sanjorge | country | Scotland
Sanjorge | industry | gas industry
Tethan government | country | Scotland
Tethys | country | Scotland
Tethys | contains administrative territorial entity | Centrum
Tethys | inception | the early 1970s
Tethys | industry | gas industry
Scotland | contains administrative territorial entity | Centrum
Scotland | contains administrative territorial entity | Tethys
Scotland | contains administrative territorial entity | Sanjorge
Scotland | contains administrative territorial entity | GAStech
Scotland | contains administrative territorial entity | Tethan government
Scotland | industry | gas industry
the early 1970s | point in time | Centrum
the early 1970s | point in time | Tethys
GAStech | part of | Tethys
Sanjorge | part of | Tethys
Tethan government | part of | Tethys
Tethys | contains administrative territorial entity | GAStech
Tethys | contains administrative territorial entity | Sanjorge
Tethys | contains administrative territorial entity | Tethan government",10.68863296508789,1129,286
815,2,"Sten Sanjorge | inception | 1974
Sten Sanjorge | technique used | hyper-acidic substrate removal techniques
Centrum | technique used | hyper-acidic substrate removal techniques
Sten Sanjorge | associated with | Centrum
Centrum | associated with | Sten Sanjorge
1974 | associated with | Sten Sanjorge
1974 | associated with | Centrum
hyper-acidic substrate removal techniques | used by | Sten Sanjorge
hyper-acidic substrate removal techniques | used by | Centrum",4.453198671340942,1111,118
816,0,"World Source | inception | 1999/11/14
World Source | country | Turkey
World Source | located in the administrative territorial entity | Izmit, Turkey
Charity Funds Limited | country | Turkey
Charity Funds Limited | located in the administrative territorial entity | Izmit, Turkey
UN Office for Coordination of Humanitarian Affairs | country | Turkey
UN Office for Coordination of Humanitarian Affairs | located in the administrative territorial entity | Izmit, Turkey
CARING Singapore | country | Turkey
CARING Singapore | located in the administrative territorial entity | Izmit, Turkey
Kosovo | country | Turkey
Kosovo | located in the administrative territorial entity | Izmit, Turkey
Turkey | contains administrative territorial entity | Izmit, Turkey
Turkey | contains administrative territorial entity | Kosovo
Turkey | contains administrative territorial entity | CARING Singapore
Turkey | contains administrative territorial entity | UN Office for Coordination of Humanitarian Affairs
Turkey | contains administrative territorial entity | Charity Funds Limited
Turkey | contains administrative territorial entity | World Source
World Source | number of employees | 20,000
Turkey | number of employees | 20,000
Izmit, Turkey | number of employees | 20,000
World Source | budget | 15 million
Turkey | budget | 15 million
Izmit, Turkey | budget | 15 million
World Source | date of event | Tuesday
Turkey | date of event | Tuesday
Izmit, Turkey | date of event | Tuesday",13.213143110275269,1139,310
816,1,"CARING Singapore | country | Singapore
Turkey | organization headquarters location | Global Emergency Disaster Organization
Wellness for All | country | Taiwan
September | point in time | Richter scale
Global Emergency Disaster Organization | country | Turkey
Jim Cordon | employer | the times
FoodSupport | country | Singapore
the times | country | Singapore
CARING Singapore | organization headquarters location | Singapore
FoodSupport | organization headquarters location | Singapore
the times | organization headquarters location | Singapore
Jim Cordon | country | Singapore
Global Emergency Disaster Organization | organization headquarters location | Turkey
Wellness for All | organization headquarters location | Taiwan
Richter scale | point in time | September
Turkey | country | Global Emergency Disaster Organization
Taiwan | country | Wellness for All
Singapore | country | CARING Singapore
Singapore | country | FoodSupport
Singapore | country | the times
Singapore | country | Jim Cordon
Taiwan | organization headquarters location | Wellness for All
Turkey | organization headquarters location | Global Emergency Disaster Organization
Singapore | organization headquarters location | CARING Singapore
Singapore | organization headquarters location | FoodSupport
Singapore | organization headquarters location | the times
Jim Cordon | employer | the times
",8.254218816757202,1123,246
817,0,"Interpol | inception | 2013/10/22
Interpol | member of | Tethys Counterdrug Team
Senior Inspector Robert Loblaw | occupation | Interpol
Senior Inspector Robert Loblaw | member of | Tethys Counterdrug Team
methyldimethyl cathinone (MDMC) | alias | ""cotton candy""
methyldimethyl cathinone (MDMC) | alias | ""spice dreams""
methyldimethyl cathinone (MDMC) | alias | ""Tulip Blossom""
MDMC | alias | ""cotton candy""
MDMC | alias | ""spice dreams""
MDMC | alias | ""Tulip Blossom""
Tethys Counterdrug Team | located in the administrative territorial entity | Tethys
Tethys Counterdrug Team | country | World Source
Asteria | contains administrative territorial entity | Asterian People's Army (APA)
Asterian People's Army (APA) | located in the administrative territorial entity | Asteria
Asterian People's Army (APA) | country | World Source
World Source | contains administrative territorial entity | Tethys
World Source | contains administrative territorial entity | Asteria
World Source | contains administrative territorial entity | Interpol
World Source | contains administrative territorial entity | Tethys Counterdrug Team
World Source | contains administrative territorial entity | Asterian People's Army (APA)",8.968767404556274,1165,294
817,1,"APA | employer | Senior Inspector Loblaw
Arise | employer | Senior Inspector Loblaw
Tethys | employer | Senior Inspector Loblaw
MDMC | employer | Senior Inspector Loblaw
Senior Inspector Loblaw | occupation | APA
Senior Inspector Loblaw | occupation | Arise
Senior Inspector Loblaw | occupation | Tethys
Senior Inspector Loblaw | occupation | MDMC",3.1434454917907715,1108,80
818,0,"World Source | inception | 2014/01/21
GASTech | CEO | Sten Sanjorge Jr
GASTech | CFO | Ingrid Barranco
GASTech | CIO | Ada Campo-Corrente
GASTech | COO | Orhan Strum
GASTech | Environmental Officer | Willem Vasco-Pais
Protectors of Kronos | member | John Rathburn
Protectors of Kronos | nationality | American
Protectors of Kronos | location | Kronos
Protectors of Kronos | abbreviation | POK
Asterian People's Army | abbreviation | APA
Asterian People's Army | location | Abila
GASTech | location | Tethys
John Rathburn | nationality | American
John Rathburn | member of | Protectors of Kronos
Sten Sanjorge Jr | position held | CEO of GASTech
Ingrid Barranco | position held | CFO of GASTech
Ada Campo-Corrente | position held | CIO of GASTech
Orhan Strum | position held | COO of GASTech
Willem Vasco-Pais | position held | Environmental Officer of GASTech
Kronos | contains | Protectors of Kronos
Tethys | contains | GASTech
Abila | contains | Asterian People's Army",9.99074125289917,1181,284
818,1,"GASTech | country | Tethys
Tethys federal law enforcement | country | Tethys
Tethan Ministry of Foreign Affairs | country | Tethys
Kronos | country | Tethys
GASTech | located in the administrative territorial entity | Tethys
Tethys federal law enforcement | located in the administrative territorial entity | Tethys
Tethan Ministry of Foreign Affairs | located in the administrative territorial entity | Tethys
Kronos | located in the administrative territorial entity | Tethys
Tethys | contains administrative territorial entity | GASTech
Tethys | contains administrative territorial entity | Tethys federal law enforcement
Tethys | contains administrative territorial entity | Tethan Ministry of Foreign Affairs
Tethys | contains administrative territorial entity | Kronos",6.120577573776245,1116,171
819,0,"Worldwise | country | ABILA
GAStech | country | ABILA
GAStech | inception | 1993/03/14
GAStech | owner | Sten Sanjorge
GAStech | value | $1 billion
Kronos | country | ABILA
President Araullo | country | ABILA
President Araullo | position held | the ministry for the interior
Tethys | country | ABILA
Tiskele | country | ABILA
Sten Sanjorge | country | ABILA
Kronosian | country | ABILA
the ministry for the interior | country | ABILA
$1 billion | country | ABILA
Worldwise | located in the administrative territorial entity | ABILA
GAStech | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
President Araullo | located in the administrative territorial entity | ABILA
Tethys | located in the administrative territorial entity | ABILA
Tiskele | located in the administrative territorial entity | ABILA
Sten Sanjorge | located in the administrative territorial entity | ABILA
Kronosian | located in the administrative territorial entity | ABILA
the ministry for the interior | located in the administrative territorial entity | ABILA
$1 billion | located in the administrative territorial entity | ABILA",10.643294095993042,1143,286
819,1,"The text ""819"" does not provide enough context to extract any relations between the entities ""government"", ""infrastructure"", ""health"", and ""education"". Please provide a more detailed text.",1.4853363037109375,1098,38
820,0,"Worldwise | inception | 1993/09/21
ABILA | country | Europe
Kronos | country | Europe
Minister of Interior Department Sarto | country | Europe
Tethys GAStech international | country | Europe
port of Abila | country | Europe
GAStech | country | Europe
Sarto | country | Europe
curve of Tiskele | country | Europe
ABILA | located in the administrative territorial entity | Europe
Kronos | located in the administrative territorial entity | Europe
Minister of Interior Department Sarto | located in the administrative territorial entity | Europe
Tethys GAStech international | located in the administrative territorial entity | Europe
port of Abila | located in the administrative territorial entity | Europe
GAStech | located in the administrative territorial entity | Europe
Sarto | located in the administrative territorial entity | Europe
curve of Tiskele | located in the administrative territorial entity | Europe
GAStech | budget | $200 million
Tethys GAStech international | duration | 100 years
Sarto | position held | Minister of Interior Department Sarto
GAStech | notable work | Tethys GAStech international
GAStech | point in time | March
port of Abila | owned by | ABILA
curve of Tiskele | owned by | Tethys GAStech international
Worldwise | point in time | 1993/09/21
Kronos | owned by | GAStech
Minister of Interior Department Sarto | point in time | March
Tethys GAStech international | point in time | March
port of Abila | point in time | March
GAStech | point in time | March
Sarto | point in time | March
curve of Tiskele | point in time | March",12.737637042999268,1152,384
820,1,"GAStech | subsidiary | Tethys
Tethys | parent organization | GAStech
Kronos | subsidiary | Tethys
Tethys | parent organization | Kronos
Tiskele | subsidiary | Kronos
Kronos | parent organization | Tiskele
GAStech | related | Kronos
GAStech | related | Tiskele
Tethys | related | Tiskele
Kronos | related | Tethys",3.031956672668457,1105,99
821,0,"Worldwise | inception | 1998/01/19
Kronos | inception | 1998/01/19
ABILA | inception | 1998/01/19
President Araullo | inception | 1998/01/19
Abila | inception | 1998/01/19
Worldwise | country | Abila
Kronos | country | Abila
ABILA | country | Abila
President Araullo | country | Abila
Abila | country | Abila
Worldwise | located in the administrative territorial entity | Abila
Kronos | located in the administrative territorial entity | Abila
ABILA | located in the administrative territorial entity | Abila
President Araullo | located in the administrative territorial entity | Abila
Abila | located in the administrative territorial entity | Abila
President Araullo | position held | President
President Araullo | jurisdiction | Abila
Abila | head of state | President Araullo",8.34359860420227,1114,204
821,1,"our country | government | our government
our country | contains | foreigners
our country | contains | foreign companies
our country | contains | foreign ""experts""
our government | contains | foreigners
our government | contains | foreign companies
our government | contains | foreign ""experts""
our modernization | country | our country
our modernization | government | our government
foreigners | country | our country
foreign companies | country | our country
foreign ""experts"" | country | our country
foreigners | government | our government
foreign companies | government | our government
foreign ""experts"" | government | our government",5.602565050125122,1110,129
822,0,"Worldwise | inception | 2001
Worldwise | country | POK
The Minister for health | position held | Minister for health
The Minister for health | country | POK
POK | contains administrative territorial entity | ABILA
POK | contains administrative territorial entity | Kronos
Vincent Kapelou | position held | President Kaeplou
Vincent Kapelou | country | POK
Cesare Nespola | country | POK
Minister for health | country | POK
Minister for health | start time | 2012/03/08
President Kaeplou | country | POK
President Kaeplou | start time | 2001
Andreas | country | POK
ABILA | country | POK
Kronos | country | POK
Andreas | located in the administrative territorial entity | POK
ABILA | located in the administrative territorial entity | POK
Kronos | located in the administrative territorial entity | POK
Vincent Kapelou | start time | 2001
Cesare Nespola | located in the administrative territorial entity | POK
The Minister for health | located in the administrative territorial entity | POK
Minister for health | located in the administrative territorial entity | POK
President Kaeplou | located in the administrative territorial entity | POK
Worldwise | located in the administrative territorial entity | POK
Worldwise | start time | 2001
Worldwise | chief executive officer | Vincent Kapelou
Worldwise | chief executive officer | President Kaeplou
Worldwise | board member | Cesare Nespola
Worldwise | board member | Andreas
Worldwise | board member | The Minister for health
Worldwise | board member | Minister for health",14.149704694747925,1142,378
823,0,"Worldwise | participant in | Conference of news of catch of police force on the kidnapping of GAStech
Conference of news of catch of police force on the kidnapping of GAStech | date of event | 2014/01/21
Conference of news of catch of police force on the kidnapping of GAStech | location of event | ABILA
Conference of news of catch of police force on the kidnapping of GAStech | involved organization | GAStech
Conference of news of catch of police force on the kidnapping of GAStech | involved organization | Kronos
Conference of news of catch of police force on the kidnapping of GAStech | involved organization | Tethyn
Conference of news of catch of police force on the kidnapping of GAStech | involved organization | POK
Conference of news of catch of police force on the kidnapping of GAStech | participant | Carman Adrien
GAStech | location | ABILA
Kronos | location | ABILA
Tethyn | location | ABILA
POK | location | ABILA
Carman Adrien | location | ABILA
Carman Adrien | participant in | Conference of news of catch of police force on the kidnapping of GAStech
GAStech | involved in event | Conference of news of catch of police force on the kidnapping of GAStech
Kronos | involved in event | Conference of news of catch of police force on the kidnapping of GAStech
Tethyn | involved in event | Conference of news of catch of police force on the kidnapping of GAStech
POK | involved in event | Conference of news of catch of police force on the kidnapping of GAStech",11.775462627410889,1139,349
824,0,"Worldwise | acquisition | Abila
Abila | acquisition | Kronos
Kronos | acquisition | Siopa
Siopa | acquisition | POK
Elian Karel | position held | Chief of POK
POK | inception | 2009/06/21
Worldwise | inception | 2009/06/21
Abila | inception | 2009/06/21
Kronos | inception | 2009/06/21
Siopa | inception | 2009/06/21
POK | chief executive officer | Elian Karel
Elian Karel | employer | POK
POK | owned by | Siopa
Siopa | owned by | Kronos
Kronos | owned by | Abila
Abila | owned by | Worldwise",6.616188287734985,1123,170
824,1,President Kapelou | position held | Kronos,0.7706480026245117,1098,10
825,0,"Worldwise | inception | 1995/11/22
Araullo | inception | 1930
ABILA | contains | hospital general of Abila
hospital general of Abila | capacity | 350 beds
hospital general of Abila | located in the administrative territorial entity | ABILA
Torsten Trucco | employer | Kronos
Kronos | inception | 1930
hospital general of Abila | inception | 1930
hospital general of Abila | contains | 100 beds
ABILA | inception | 1930
Kronos | contains | 100 beds
Kronos | capacity | 350 beds
Torsten Trucco | inception | 1930
Worldwise | contains | 100 beds
Worldwise | capacity | 350 beds
Araullo | contains | 100 beds
Araullo | capacity | 350 beds
hospital general of Abila | employer | Torsten Trucco
hospital general of Abila | employer | Kronos
ABILA | employer | Torsten Trucco
ABILA | employer | Kronos
Worldwise | employer | Torsten Trucco
Worldwise | employer | Kronos
Araullo | employer | Torsten Trucco
Araullo | employer | Kronos",8.720688581466675,1134,269
825,1,Araullo | related to | foreign investment,1.3134143352508545,1096,9
826,0,"Worldwise | country | ABILA
The ministry for health studies complaints of contamination | inception | 1998/11/10
The ministry for health studies complaints of contamination | country | ABILA
The ministry for health studies complaints of contamination | headquarter location | office of Nespola
ABILA | contains administrative territorial entity | office of Nespola
Kronos | country | ABILA
Minister for health | country | ABILA
Minister for health | position held | Cesare Nespola
Cesare Nespola | country | ABILA
Cesare Nespola | occupation | Minister for health
Tiskele | country | ABILA
Elodis | country | ABILA
office of Nespola | country | ABILA
Tethys | country | ABILA
Cesare Nespola | office held | office of Nespola
office of Nespola | contains administrative territorial entity | The ministry for health studies complaints of contamination
ABILA | contains administrative territorial entity | Worldwise
ABILA | contains administrative territorial entity | Kronos
ABILA | contains administrative territorial entity | Tiskele
ABILA | contains administrative territorial entity | Elodis
ABILA | contains administrative territorial entity | Tethys
Cesare Nespola | office location | office of Nespola
The ministry for health studies complaints of contamination | office location | office of Nespola
The ministry for health studies complaints of contamination | head of government | Cesare Nespola
Cesare Nespola | head of government | The ministry for health studies complaints of contamination
ABILA | headquarter location | office of Nespola
office of Nespola | located in the administrative territorial entity | ABILA
The ministry for health studies complaints of contamination | located in the administrative territorial entity | ABILA
Cesare Nespola | located in the administrative territorial entity | ABILA
office of Nespola | located in the administrative territorial entity | ABILA
Worldwise | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
Tiskele | located in the administrative territorial entity | ABILA
Elodis | located in the administrative territorial entity | ABILA
Tethys | located in the administrative territorial entity | ABILA",16.806854009628296,1144,486
826,1,"Dr. Ronald Gerald | profession | hospital general of Abila
hospital general of Abila | employee | Dr. Ronald Gerald",1.1175732612609863,1101,25
827,0,"Worldwise | employer | Elian Karel
Worldwise | employer | Juliana Vann
Worldwise | employer | President Dorel Kapelou
POK | employer | Elian Karel
POK | employer | Juliana Vann
POK | employer | President Dorel Kapelou
ABILA, Kronos | employer | Elian Karel
ABILA, Kronos | employer | Juliana Vann
ABILA, Kronos | employer | President Dorel Kapelou
Tethys | employer | Elian Karel
Tethys | employer | Juliana Vann
Tethys | employer | President Dorel Kapelou
GAStech | employer | Elian Karel
GAStech | employer | Juliana Vann
GAStech | employer | President Dorel Kapelou
Worldwise | inception | 2013/06/22
POK | inception | 2013/06/22
ABILA, Kronos | inception | 2013/06/22
Tethys | inception | 2013/06/22
GAStech | inception | 2013/06/22
President Dorel Kapelou | position held | President
Elian Karel | colleague | Juliana Vann
Elian Karel | colleague | President Dorel Kapelou
Juliana Vann | colleague | Elian Karel
Juliana Vann | colleague | President Dorel Kapelou
President Dorel Kapelou | colleague | Elian Karel
President Dorel Kapelou | colleague | Juliana Vann",11.407179594039917,1136,346
827,1,"three leaders | participant in | protestateurs
protestateurs | participant in | police force
three leaders | participant in | police force",1.2999086380004883,1099,27
828,0,"Worldwise | acquisition by | POK
POK | acquisition of | Worldwise
Abila | acquisition by | Kronos
Kronos | acquisition of | Abila
Adrien Carmen | employment by | Kronos
Carmen | employment by | Kronos
Worldwise | inception | 2013/12/16
Abila | inception | 2013/12/16
Kronos | inception | 2013/12/16
Adrien Carmen | inception | 2013/12/16
Carmen | inception | 2013/12/16",4.2385663986206055,1116,124
829,0,"Worldwise | inception | 1996/03/14
Worldwise | country | ABILA
Worldwise | located in the administrative territorial entity | ABILA
Tiskele | country | ABILA
Tiskele | located in the administrative territorial entity | ABILA
Kronos | country | ABILA
Kronos | located in the administrative territorial entity | ABILA
ministry for the interior | country | ABILA
ministry for the interior | located in the administrative territorial entity | ABILA
Sarto | country | ABILA
Sarto | located in the administrative territorial entity | ABILA
GAStech | country | ABILA
GAStech | located in the administrative territorial entity | ABILA
Worldwise | part of | GAStech
Tiskele | part of | GAStech
Kronos | part of | GAStech
Sarto | part of | GAStech
ministry for the interior | part of | GAStech
GAStech | inception | 1996/03/14
GAStech | contains administrative territorial entity | Worldwise
GAStech | contains administrative territorial entity | Tiskele
GAStech | contains administrative territorial entity | Kronos
GAStech | contains administrative territorial entity | Sarto
GAStech | contains administrative territorial entity | ministry for the interior
GAStech | located in the administrative territorial entity | ABILA
GAStech | country | ABILA
ABILA | contains administrative territorial entity | GAStech
ABILA | contains administrative territorial entity | Worldwise
ABILA | contains administrative territorial entity | Tiskele
ABILA | contains administrative territorial entity | Kronos
ABILA | contains administrative territorial entity | Sarto
ABILA | contains administrative territorial entity | ministry for the interior",14.175534725189209,1123,375
829,1,President Araullo | position held | Mr. chair,0.8149619102478027,1098,10
830,0,"Worldwise | country | ABILA
GAStech | country | ABILA
Kronos | country | ABILA
Ingrid Barranco | country | ABILA
Ada Campo-Corrente | country | ABILA
Orhan Strum | country | ABILA
Willem Vasco-Pais | country | ABILA
Rufus Drymiau | country | ABILA
Sten Sanjorge Jr. | country | ABILA
Tethys | country | ABILA
President Kapelou | country | ABILA
International GAStech | inception | 20th year
International GAStech | country | ABILA
Tiskele | country | ABILA
GAStech | inception | 2014/01/19
GAStech | participant | Ingrid Barranco
GAStech | participant | Ada Campo-Corrente
GAStech | participant | Orhan Strum
GAStech | participant | Willem Vasco-Pais
GAStech | participant | Rufus Drymiau
GAStech | participant | Sten Sanjorge Jr.
GAStech | participant | President Kapelou
GAStech | participant | Tiskele
GAStech | participant | Worldwise
GAStech | participant | Kronos
GAStech | participant | Tethys
GAStech | participant | International GAStech
GAStech | participant | ABILA",9.92972993850708,1170,298
830,1,"GAStech | located in the administrative territorial entity | Abila
hospital general of Abila | located in the administrative territorial entity | Abila
GAStech | country | Abila
hospital general of Abila | country | Abila",2.7666468620300293,1103,49
831,0,"Worldwise | country | ABILA
GAStech | country | ABILA
Kronos | country | ABILA
Sten Sanjorge Jr. | country | ABILA
GAStech-Kronos | country | ABILA
Sarto minister | country | ABILA
Sanjorge | country | ABILA
GAStech | inception | 1995/10/11
GAStech | parent organization | GAStech-Kronos
Kronos | parent organization | GAStech-Kronos
Sten Sanjorge Jr. | employer | GAStech
Sten Sanjorge Jr. | parent organization | GAStech-Kronos
Sarto minister | employer | Worldwise
Sanjorge | employer | GAStech
Sanjorge | parent organization | GAStech-Kronos
Worldwise | located in the administrative territorial entity | ABILA
GAStech | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
Sten Sanjorge Jr. | located in the administrative territorial entity | ABILA
GAStech-Kronos | located in the administrative territorial entity | ABILA
Sarto minister | located in the administrative territorial entity | ABILA
Sanjorge | located in the administrative territorial entity | ABILA",10.08381724357605,1133,279
832,0,"Worldwise | inception | 2001/09/01
Tiskele | country | ABILA, Kronos
GAStech | country | ABILA, Kronos
guards of Kronos | country | ABILA, Kronos
Drilling poisoned our water | country | ABILA, Kronos
Juliana | country | ABILA, Kronos
Juliana Vann | country | ABILA, Kronos
Carman Adrien | country | ABILA, Kronos
POK | country | ABILA, Kronos
Juliana Vann | inception | 1998
Juliana | inception | 1998
Carman Adrien | employer | GAStech
Juliana Vann | employer | GAStech
Juliana | employer | GAStech
guards of Kronos | employer | GAStech
Tiskele | employer | GAStech
Worldwise | employer | GAStech
POK | employer | GAStech
Drilling poisoned our water | cause of | Tiskele
Drilling poisoned our water | cause of | Worldwise
Drilling poisoned our water | cause of | Juliana
Drilling poisoned our water | cause of | Juliana Vann
Drilling poisoned our water | cause of | Carman Adrien
Drilling poisoned our water | cause of | POK
Drilling poisoned our water | cause of | guards of Kronos
Drilling poisoned our water | cause of | GAStech
Drilling poisoned our water | cause of | ABILA, Kronos
Drilling poisoned our water | cause of | Kronos
Drilling poisoned our water | cause of | 1998
Drilling poisoned our water | cause of | 2001/09/01
Drilling poisoned our water | cause of | Tiskele
Drilling poisoned our water | cause of | Worldwise
Drilling poisoned our water | cause of | Juliana
Drilling poisoned our water | cause of | Juliana Vann
Drilling poisoned our water | cause of | Carman Adrien
Drilling poisoned our water | cause of | POK
Drilling poisoned our water | cause of | guards of Kronos
Drilling poisoned our water | cause of | GAStech
Drilling poisoned our water | cause of | ABILA, Kronos
Drilling poisoned our water | cause of | Kronos
Drilling poisoned our water | cause of | 1998
Drilling poisoned our water | cause of | 2001/09/01",16.222861766815186,1146,523
832,1,"Kronos | employer | Carmine Gurganus
Carmine Gurganus | occupation | guards of Kronos
Kronos | has part | guards of Kronos
Kronos | uses | fossil fuels
guards of Kronos | uses | fossil fuels
Carmine Gurganus | uses | fossil fuels",3.050690174102783,1107,68
833,0,"Worldwise | country | Tethyn
POK | country | Tethyn
GAStech | country | Tethyn
ABILA | country | Tethyn
Kronos | country | Tethyn
Edvard Vann | country | Tethyn
Centrum | country | Tethyn
Tethys | country | Tethyn
the ministry of Tethyn of the Foreign Affairs | country | Tethyn
Worldwise | located in the administrative territorial entity | Tethyn
POK | located in the administrative territorial entity | Tethyn
GAStech | located in the administrative territorial entity | Tethyn
ABILA | located in the administrative territorial entity | Tethyn
Kronos | located in the administrative territorial entity | Tethyn
Edvard Vann | located in the administrative territorial entity | Tethyn
Centrum | located in the administrative territorial entity | Tethyn
Tethys | located in the administrative territorial entity | Tethyn
the ministry of Tethyn of the Foreign Affairs | located in the administrative territorial entity | Tethyn
GAStech | inception | 2014/01/20
Edvard Vann | employer | the ministry of Tethyn of the Foreign Affairs
Edvard Vann | employer | GAStech
Edvard Vann | employer | POK
Edvard Vann | employer | Worldwise
Edvard Vann | employer | ABILA
Edvard Vann | employer | Kronos
Edvard Vann | employer | Centrum
Edvard Vann | employer | Tethys
the ministry of Tethyn of the Foreign Affairs | inception | 2014/01/20
the ministry of Tethyn of the Foreign Affairs | employer | Edvard Vann
the ministry of Tethyn of the Foreign Affairs | employer | GAStech
the ministry of Tethyn of the Foreign Affairs | employer | POK
the ministry of Tethyn of the Foreign Affairs | employer | Worldwise
the ministry of Tethyn of the Foreign Affairs | employer | ABILA
the ministry of Tethyn of the Foreign Affairs | employer | Kronos
the ministry of Tethyn of the Foreign Affairs | employer | Centrum
the ministry of Tethyn of the Foreign Affairs | employer | Tethys",16.64484429359436,1141,489
834,0,"Worldwise | inception | 2010/06/22
Elian Karel | employer | Worldwise
Juliana Vann | employer | Worldwise
POK | employer | Worldwise
Abila | contains administrative territorial entity | police force of Abila
Kronos | employer | Worldwise
Worldwise | location | Abila
Elian Karel | location | Abila
Juliana Vann | location | Abila
POK | location | Abila
Kronos | location | Abila
police force of Abila | location | Abila
police force of Abila | employer | Abila
Abila | inception | 2010/06/22
Abila | employer | Worldwise
Abila | employer | Elian Karel
Abila | employer | Juliana Vann
Abila | employer | POK
Abila | employer | Kronos
Abila | employer | police force of Abila",6.829894304275513,1126,200
834,1,"Silvia Marek | participant in | the last summer
Carman Adrien | participant in | the last summer
Elian Karel | participant in | the last summer
Silvia Marek | affiliation | POK
Carman Adrien | affiliation | POK
Elian Karel | affiliation | POK
POK | location | Abila
hospital general of Abila | location | Abila
police force | location | Abila
Silvia Marek | location | Abila
Carman Adrien | location | Abila
Elian Karel | location | Abila
the last summer | location | Abila
Silvia Marek | occupation | police force
Carman Adrien | occupation | police force
Elian Karel | occupation | police force
Silvia Marek | treated at | hospital general of Abila
Carman Adrien | treated at | hospital general of Abila
Elian Karel | treated at | hospital general of Abila",7.484800577163696,1124,204
835,0,"Worldwise | acquisition by | POK
Worldwise | acquisition date | 2011/07/29
ABILA | acquisition by | Kronos
Rufus Drymiau | position held | President Kapelou
President Kapelou | position held by | Rufus Drymiau",2.76971697807312,1121,61
836,0,"Worldwise | country | Abila
Nespola | occupation | Minister for health
Nespola | country | Abila
oil | country | Abila
gas | country | Abila
1999/07/05 | point in time | Nespola
ABILA | country | Abila
Kronos | country | Abila
Minister for health Cesare Nespola | country | Abila
Minster Nespola | country | Abila
Last year | point in time | Nespola
Abila | contains administrative territorial entity | hospital in Abila
doctors | country | Abila
hospital in Abila | country | Abila
Nespola | employer | hospital in Abila
doctors | employer | hospital in Abila
Minister for health Cesare Nespola | occupation | Minister for health
Minster Nespola | occupation | Minister for health
hospital in Abila | located in the administrative territorial entity | Abila
Worldwise | located in the administrative territorial entity | Abila
Kronos | located in the administrative territorial entity | Abila
ABILA | located in the administrative territorial entity | Abila
Nespola | located in the administrative territorial entity | Abila
Minister for health Cesare Nespola | located in the administrative territorial entity | Abila
Minster Nespola | located in the administrative territorial entity | Abila
doctors | located in the administrative territorial entity | Abila
hospital in Abila | inception | Last year
Nespola | inception | 1999/07/05
Minister for health Cesare Nespola | inception | 1999/07/05
Minster Nespola | inception | 1999/07/05
hospital in Abila | employer | Nespola
hospital in Abila | employer | Minister for health Cesare Nespola
hospital in Abila | employer | Minster Nespola
hospital in Abila | employer | doctors
Nespola | employer | Worldwise
Minister for health Cesare Nespola | employer | Worldwise
Minster Nespola | employer | Worldwise
doctors | employer | Worldwise
hospital in Abila | employer | Worldwise
Worldwise | employer | Nespola
Worldwise | employer | Minister for health Cesare Nespola
Worldwise | employer | Minster Nespola
Worldwise | employer | doctors
Worldwise | employer | hospital in Abila
Nespola | employer | ABILA
Minister for health Cesare Nespola | employer | ABILA
