doc_key,processed_entities,output_tokens,entities_not_from_list
0,"One World Research Institute for Social Development | located in the administrative territorial entity | Kronos
GAStech International | location | Tethys
Hank Fluss | location | The World
Hank Fluss | employer | GAStech - Kronos
Hank Fluss | position held | Chief Operating Officer
Beatriz Fluss | relative | Hank Fluss
GAStech International | founded by | Sten Sanjorge, Sr.
GAStech International | location | Centrum
GAStech International | location | The World",379,0
748,"Europe | contains administrative territorial entity | fossil-fuels
fossil-fuels | country | The World
fossil-fuels | located in the administrative territorial entity | Europe
The World | contains administrative territorial entity | fossil-fuels
Government of Kronos | inception | 11 December 1992
Kronos | industry | energy companies
ABILA, Kronos | located in the administrative territorial entity | KRONOS GOVERNMENT
KRONOS GOVERNMENT | located in the administrative territorial entity | ABILA, Kronos
United States | contains administrative territorial entity | fossil-fuels
The World | contains administrative territorial entity | ABILA, Kronos
KRONOS GOVERNMENT | has part | Government of Kronos
The World | contains administrative territorial entity | Europe
Government of Kronos | has part | KRONOS GOVERNMENT
The World | contains administrative territorial entity | KRONOS GOVERNMENT
The World | contains administrative territorial entity | United States
fossil-fuels | located in the administrative territorial entity | United States
Government of Kronos | has part | ABILA, Kronos
Government of Kronos | located in the administrative territorial entity | ABILA, Kronos
ABILA, Kronos | country | The World
KRONOS GOVERNMENT | country | The World
Government of Kronos | country | The World
United States | located in the administrative territorial entity | The World
KRONOS GOVERNMENT | inception | 11 December 1992
Europe | located in the administrative territorial entity | The World
ABILA, Kronos | located in the administrative territorial entity | Government of Kronos
The World | contains administrative territorial entity | Government of Kronos
KRONOS GOVERNMENT | has part | ABILA, Kronos",368,0
749,"Kronos | located in the administrative territorial entity | GAStech International
ABILA | headquarters location | GAStech International
Port of Abila | country | The World
Port of Abila | located in the administrative territorial entity | The World
GAStech International | located in the administrative territorial entity | The World
ABILA | located in the administrative territorial entity | The World
GAStech International | country | The World
Claudio Morluniau | country | The World
Claudio Morluniau | citizenship | The World
ABILA | contains administrative territorial entity | Abila's East Pier
Kronos | country | The World
GAStech International | contains administrative territorial entity | Kronos
Claudio Morluniau | employer | GAStech International
Claudio Morluniau | located in the administrative territorial entity | The World
Claudio Morluniau | located in the administrative territorial entity | ABILA
GAStech International | inception | 19 September 1993
GAStech International | employer | Claudio Morluniau
Abila's East Pier | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | The World
ABILA | contains administrative territorial entity | Port of Abila
Abila's East Pier | country | The World
Port of Abila | depth | 8 meters
Abila's East Pier | located in the administrative territorial entity | The World
The World | contains administrative territorial entity | ABILA
GAStech International | headquarters location | ABILA
Port of Abila | located in the administrative territorial entity | ABILA
Abila's East Pier | depth | 3 meters
GAStech International | cost | $300 million",372,0
750,"Centrum Children's Hospital Board of Trustees | part of | Centrum
Centrum Chamber | located in the administrative territorial entity | The World
GAStech International | located in the administrative territorial entity | The World
GAStech International | country | The World
Sten Sanjorge, Sr. | parent | Sanjorge
Centrum | country | The World
Ingrid Sanjorge | spouse | Sanjorge, Sr.
Sten Sanjorge, Sr. | located in the administrative territorial entity | The World
Sten Sanjorge, Sr. | country | The World
Centrum | located in the administrative territorial entity | The World
Centrum Children's Hospital Board of Trustees | located in the administrative territorial entity | The World
Centrum | inception | 1961
Ingrid Sanjorge | parent | Sten Sanjorge, Jr.
Centrum Chamber | part of | Centrum
Willem Gracias | country | The World
Sanjorge | country | The World
Willem Gracias | member of | Centrum Children's Hospital Board of Trustees
Sanjorge, Sr. | spouse | Ingrid Sanjorge
Tethys | country | The World
Sanjorge, Sr. | parent | Sten Sanjorge, Jr.
Willem Gracias | located in the administrative territorial entity | The World
The World | inception | 17 February 1994
Centrum Chamber | country | The World
Sanjorge | located in the administrative territorial entity | The World
Centrum Children's Hospital Board of Trustees | country | The World
Tethys | located in the administrative territorial entity | The World",345,0
751,"Sten Sanjorge, Sr. | age | 52 years
GAStech International | founded by | Sten Sanjorge, Jr.
Sten Sanjorge, Jr. | alias | SANJORGE JR.
GAStech International | employee | Sten Sanjorge, Sr.
GAStech International | subsidiary | CENTRUM
Sten Sanjorge, Sr. | birth date | 1961
GAStech International | value | $3.75 billion
Sten Sanjorge, Jr. | employer | GAStech International
Sten Sanjorge, Jr. | birth date | 1961
Sten Sanjorge, Jr. | founder of | GAStech International
Sten Sanjorge, Sr. | child | Sten Sanjorge, Jr.
Sten Sanjorge, Sr. | employer | GAStech International
Sten Sanjorge, Sr. | alias | SANJORGE JR.
GAStech International | subsidiary | Tethys
Sten Sanjorge, Jr. | parent | Sten Sanjorge, Sr.
Sten Sanjorge, Jr. | age | 52 years
Sten Sanjorge, Jr. | location | The World
Tethys | parent company | GAStech International
GAStech International | founded date | 2 September 2013
Sten Sanjorge, Sr. | founder of | GAStech International
CENTRUM | parent company | GAStech International
GAStech International | founded by | Sten Sanjorge, Sr.
Sten Sanjorge, Sr. | location | The World
GAStech International | location | The World
GAStech International | employee | Sten Sanjorge, Jr.",371,0
752,"GAStech International | inception | 1998
Government of Kronos | country | Kronos
GAStech International | country | The World
Government of Kronos | country | Tethys
The Protectors of Kronos | country | The World
Sanjorge, Jr. | position held | President and CEO Sten Sanjorge, Jr.
RANSOM DEMANDS MADE IN GASTECH KIDNAPPING | country | Kronos
The Protectors of Kronos | country | ABILA
RANSOM DEMANDS MADE IN GASTECH KIDNAPPING | country | Elodis
The Protectors of Kronos | country | Tethys
RANSOM DEMANDS MADE IN GASTECH KIDNAPPING | country | The World
GAStech International | country | Elodis
GAStech International | country | Tethys
RANSOM DEMANDS MADE IN GASTECH KIDNAPPING | country | Tethys
GAStech International | chief executive officer | Sanjorge, Jr.
GAStech International | country | Kronos
Government of Kronos | country | The World
The Protectors of Kronos | country | Kronos
The Protectors of Kronos | country | Elodis
GAStech International | country | ABILA
Government of Kronos | country | Elodis
RANSOM DEMANDS MADE IN GASTECH KIDNAPPING | country | ABILA
GAStech International | chief executive officer | President and CEO Sten Sanjorge, Jr.
President and CEO Sten Sanjorge, Jr. | position held | GAStech International
President and CEO Sten Sanjorge, Jr. | position held | Sanjorge, Jr.
Sanjorge, Jr. | position held | GAStech International
RANSOM DEMANDS MADE IN GASTECH KIDNAPPING | publication date | 21 January 2014
Government of Kronos | country | ABILA",422,0
753,"Tiskele Bend | located in the administrative territorial entity | The World
ABILA | located in the administrative territorial entity | The World
Kronos | contains administrative territorial entity | Tiskele Bend
Asteria | located in the administrative territorial entity | The World
The World | contains administrative territorial entity | Asteria
GAStech International | parent organization | GASTECH
ABILA | located in the administrative territorial entity | Asteria
Sten Sanjorge Jr. | employer | GAStech International
The World | contains administrative territorial entity | Tethan fields
People of Kronos | located in the administrative territorial entity | The World
People of Kronos | located in the administrative territorial entity | Tethan fields
People of Kronos | located in the administrative territorial entity | Tiskele Bend
ABILA | located in the administrative territorial entity | Tethan fields
GASTECH | inception | 23 September 1994
People of Kronos | located in the administrative territorial entity | ABILA
People of Kronos | located in the administrative territorial entity | Asteria
The World | contains administrative territorial entity | Kronos
The World | contains administrative territorial entity | Tiskele Bend
Asteria | located in the administrative territorial entity | Kronos
ABILA | inception | February
ABILA | located in the administrative territorial entity | Tiskele Bend
ABILA | located in the administrative territorial entity | Kronos
Kronos | located in the administrative territorial entity | The World
People of Kronos | located in the administrative territorial entity | Kronos
Sten Sanjorge Jr. | employer | GASTECH
Kronos | contains administrative territorial entity | People of Kronos
Tethan fields | located in the administrative territorial entity | The World
Tiskele Bend | located in the administrative territorial entity | Kronos
GASTECH | subsidiary | GAStech International
Kronos | contains administrative territorial entity | Tethan fields
Tethan fields | located in the administrative territorial entity | Kronos",426,0
754,"Elian Karel | located in the administrative territorial entity | Kronos
Jeroen | involved in | milieucatastrofe
Jeroen | colleague | POK
POK REMIND LEADER MARTYRED | publication date | 19 June 2009
Silvia Marek | located in the administrative territorial entity | Kronos
POK REMIND LEADER MARTYRED | contributor | LEADER
Elian | colleague | Jeroen
Jeroen | duration of employment | three years
Henk Bodrogi | colleague | Elian
Juliana Vann | country | Kronos
police force | uses | peper spray
The Wrap | contributor | Silvia Marek
The Wrap | publication date | 2012/06/21
Jeroen | work period (afternoon) | afternoon
POK | colleague | Jeroen
POK | involved in | milieucatastrofe
Henk Bodrogi | location of work | Abila
Jeroen | location of work | Abila
POK | colleague | Henk Bodrogi
Elian | occupation | public civil servants
Silvia Marek | country | Kronos
POK | work period (afternoon) | afternoon
Henk Bodrogi | occupation | public civil servants
Elian | colleague | POK
Elian | location of work | Abila
Antaura Karel | country | Kronos
The Wrap | contributor | Juliana Vann
Jeroen | colleague | Henk Bodrogi
police force | uses | batons
Henk Bodrogi | involved in | milieucatastrofe
Elodis | country | Kronos
LEADER | country | Kronos
Jeroen | country | Kronos
Henk Bodrogi | colleague | Jeroen
Juliana Vann | located in the administrative territorial entity | Kronos
The Wrap | contributor | Jeroen
Jeroen | occupation | public civil servants
ABILA | located in the administrative territorial entity | Kronos
Antaura Karel | located in the administrative territorial entity | Kronos
Henk Bodrogi | colleague | POK
Henk Bodrogi | duration of employment | three years
POK | duration of employment | three years
Henk Bodrogi | work period (afternoon) | afternoon
mob | attacked by | police force
Jeroen | colleague | Elian
POK | colleague | Elian
Elian | involved in | milieucatastrofe
Elian | work period (afternoon) | afternoon
POK REMIND LEADER MARTYRED | contributor | Elian Karel
ABILA | country | Kronos
Elian | duration of employment | three years
POK | location of work | Abila
Elodis | located in the administrative territorial entity | Kronos
POK REMIND LEADER MARTYRED | contributor | Antaura Karel
Jeroen | located in the administrative territorial entity | Kronos
Elian Karel | country | Kronos
POK | occupation | public civil servants
LEADER | located in the administrative territorial entity | Kronos
Elian | colleague | Henk Bodrogi",680,0
755,"The police force | protects | Kronos
The verdedigers | employs | Elian
The Wrap | country | ABILA, Kronos
Karel | resident | Kronos
Coroner of the city Abila | start time | 19 June
Karel | country | ABILA, Kronos
Kronosian | resident | Kronos
The foreign companies | operates in | Kronos
ELIAN KAREL | country | ABILA, Kronos
POK | part of | The foreign companies
The government Kronos | employs | The police force
The police force | located in | Kronos
Kronosian | nationality | Kronos
The government Kronos | employs | The town civil servants
The guards of Kronos | part of | The government Kronos
Coroner of the city Abila | end time | July 2010
ABILA, Kronos | contains administrative territorial entity | Karel
Juliana | member of | The town civil servants
Elian | member of | The verdedigers
The Wrap | author | ELIAN KAREL
The verdedigers | part of | The guards of Kronos
Karel | end time | July 2010
Coroner of the city Abila | country | ABILA, Kronos
The verdedigers | protects | Kronos
POK | located in | Kronos
The police force | employs | Karel
The Wrap | publication date | 2010/06/21
Karel | member of | The police force
The police force | part of | The government Kronos
The town civil servants | employs | Juliana
The guards of Kronos | protects | Kronos
The town civil servants | serves | Kronos
The government Kronos | governs | Kronos
The government Kronos | employs | The verdedigers
The town civil servants | located in | Kronos
Coroner of the city Abila | author | Karel
The Wrap | contains administrative territorial entity | Karel
Elian | resident | Kronos
The Wrap | contains administrative territorial entity | ELIAN KAREL
ELIAN KAREL | publication date | 2010/06/21
Karel | start time | 19 June
The guards of Kronos | employs | The verdedigers
Juliana | resident | Kronos
ELIAN KAREL | occupation | Coroner of the city Abila
The foreign companies | located in | Kronos
ABILA, Kronos | contains administrative territorial entity | Coroner of the city Abila
Coroner of the city Abila | publication date | 2010/06/21
Karel | publication date | 2010/06/21
The town civil servants | part of | The government Kronos
The verdedigers | located in | Kronos
The government Kronos | employs | The guards of Kronos
The government Kronos | located in | Kronos
Karel | occupation | Coroner of the city Abila
Kronos | contains | POK
Coroner of the city Abila | author | ELIAN KAREL
The guards of Kronos | located in | Kronos
The foreign companies | employs | POK",695,0
756,"birth country | located in the administrative territorial entity | country
police force van | located in the administrative territorial entity | country
GAStech | located in the administrative territorial entity | country
The Wrap | inception | 2005/04/06
weavers | country | country
Tiskele | occupation | weavers
Tiskele | inception | 8 am
Tiskele | located in the administrative territorial entity | country
Kronos federal police force | country | country
police force van | country | country
ELODIS | country | country
Kronos federal police force | inception | 8 am
farmer | located in the administrative territorial entity | country
Kronos federal police force | part of | Kronos
Tiskele | country | country
birth country | country | country
Kronos federal police force | located in the administrative territorial entity | country
farmer | country | country
police force van | inception | 8 am
GAStech | inception | 8 am
GAStech | country | country
birth country | inception | 8 am
weavers | located in the administrative territorial entity | country
POK | country | country
farmer | inception | 8 am
Kronos | country | country
Kronos | inception | 8 am
weavers | inception | 8 am
POK | inception | 8 am",306,0
757,"ELODIS | notable work | Kronos
ELODIS | publication date | 1998/04/26
Kronos | publication date | 1998/04/26
Joclyn Reynolds | location | South-East Asia
Elodis | employer | M. Fluss
Joclyn Reynolds | participant in | GAStech
Sanjorge | employer | GAStech
200 years | publication date | 1998/04/26
KRONOS: AID OF UNEXPECTED part two | performer | Kronos
Joclyn Reynolds | associated with | Wellness
The Wrap | notable work | Henk Bodrogi
Wellness for all | location | South-East Asia
M. Fluss | employer | Elodis
Joclyn Reynolds | member of | international agency Wellness for all
GAStech | product or material produced | toluene
Joclyn Reynolds | occupation | town civil servants
Kronos | notable work | KRONOS: AID OF UNEXPECTED part two
GAStech | employer | M. Fluss
The Wrap | notable work | ELODIS
South-East Asia | contains administrative territorial entity | GAStech
Kronos | employer | GAStech
ELODIS | notable work | Henk Bodrogi
South-East Asia | contains administrative territorial entity | Wellness for all
The Wrap | notable work | KRONOS: AID OF UNEXPECTED part two
Elodis | employer | Tiskele
Kronesian | employer | GAStech
Bodrodgi | occupation | town civil servants
Joclyn Reynolds | employee | GAStech
Ms. Reynolds | colleague | Sten Sanjorge, Jr.
Tiskele | employer | GAStech
GAStech | notable event | 15 May, 1998
M. Henk Bodrogi | profession | gas company
Community LEADERs | nationality | Kronesian
Elodis | employer | Sanjorge
GAStech | product or material produced | selenium
Joclyn Reynolds | participant in | Elodis
Elodis | location | South-East Asia
South-East Asia | contains administrative territorial entity | Tiskele
Reynolds | colleague | Sten Sanjorge, Jr.
Joclyn Reynolds | occupation | water specialist
Reynolds | nationality | Kronesian
The Wrap | notable work | Kronos
Ms. Reynolds | nationality | Kronesian
Sten Sanjorge, Jr. | employer | GAStech
ELODIS | notable work | 200 years
Pondo Reese | employer | GAStech
Ferro | publication date | 1998/04/26
Henk Bodrogi | publication date | 1998/04/26
GAStech | inception | 1990
GAStech | employer | Tiskele
GAStech | participant | Joclyn Reynolds
Sanjorge | employer | Elodis
South-East Asia | contains administrative territorial entity | Joclyn Reynolds
LEADERs Elodis | nationality | Kronesian
Wellness | part of | international agency Wellness for all
Joclyn Reynolds | participant in | Wellness for all
Bodrodgi | occupation | water specialist
GAStech | location | South-East Asia
KRONOS: AID OF UNEXPECTED part two | publication date | 1998/04/26
KRONOS: AID OF UNEXPECTED part two | performer | Ferro
ELODIS | notable work | The Wrap
ELODIS | notable work | KRONOS: AID OF UNEXPECTED part two
GAStech | employer | Sanjorge
GAStech | product or material produced | lead
The Wrap | notable work | 200 years
Bodrodgi | associated with | Wellness
M. Fluss | employer | GAStech
Sten Sanjorge, Jr. | colleague | Ms. Reynolds
Community LEADERs | employer | GAStech
The Wrap | publication date | 1998/04/26
Henk Bodrogi | notable work | KRONOS: AID OF UNEXPECTED part two
Joclyn Reynolds | participant in | Tiskele
The Wrap | notable work | Ferro
LEADERs Elodis | employer | GAStech
KRONOS: AID OF UNEXPECTED part two | performer | Henk Bodrogi
Pondo Reese | nationality | Kronesian
Reynolds | employer | GAStech
Bodrodgi | member of | international agency Wellness for all
Tiskele | participant | Joclyn Reynolds
Sten Sanjorge, Jr. | colleague | Reynolds
ELODIS | notable work | Ferro
water specialist | work for | international agency Wellness for all
GAStech | product or material produced | benzene
Elodis | participant | Joclyn Reynolds
GAStech | product or material produced | xylene arsenic
South-East Asia | contains administrative territorial entity | Elodis
town civil servants | work for | international agency Wellness for all
Ferro | notable work | KRONOS: AID OF UNEXPECTED part two
Wellness for all | participant | Joclyn Reynolds
Tiskele | employer | Elodis
Kronos | nationality | Kronesian
Ms. Reynolds | employer | GAStech
Tiskele | location | South-East Asia
Sten Sanjorge, Jr. | nationality | Kronesian",1190,0
758,"Nespola | occupation | guards of Kronos
The Wrap | contributor | Cesare Nespola
Henk Bodrogi | employer | LEADER
LEADER | owner | Henk Bodrogi
Elodis | owner | Cesare Nespola
Kronos | owner | Cesare Nespola
Cesare Nespola | nationality | Abila
The Wrap | contributor | Henk Bodrogi
guards of Kronos | location | Abila
Cesare Nespola | occupation | guards of Kronos
Bodrogi | owner | Elodis
Nespola | nationality | Abila
Henk Bodrogi | nationality | Abila
guards of Kronos | member | Cesare Nespola
Nespola | employer | LEADER
The Wrap | location | Abila
Nespola | employer | Kronos
Henk Bodrogi | employer | Kronos
The Wrap | publication date | 2001/03/24
Bodrogi | employer | LEADER
guards of Kronos | employer | Kronos
Nespola | contributor | The Wrap
Kronos | owner | Henk Bodrogi
Elodis | location | Abila
Cesare Nespola | employer | Kronos
Bodrogi | occupation | guards of Kronos
LEADER | owner | Cesare Nespola
Kronos | location | Abila
Elodis | owner | Henk Bodrogi
Nespola | owner | Elodis
Bodrogi | contributor | The Wrap
Cesare Nespola | employer | LEADER
Bodrogi | employer | Kronos
Henk Bodrogi | occupation | guards of Kronos
Bodrogi | nationality | Abila
guards of Kronos | member | Henk Bodrogi
LEADER | location | Abila",401,0
759,"COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT | publisher | Silvia Marek
The Wrap | part of | COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT
Kronos social action organization | notable work | The Wrap
Kronos | location of formation | Elodis town park
Silvia Marek | employer | Kronos social action organization
COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT | location of formation | Elodis town park
The Wrap | publication date | 2012/04/11
Kronos | notable work | The Wrap
Kronos social action organization | location of formation | Elodis town park
COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT | location of formation | ABILA
COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT | part of | The Wrap
Kronos | location of formation | ABILA
Marek | employer | Kronos social action organization
COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT | publisher | Marek
COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT | publication date | 2012/04/11
The Wrap | publisher | Silvia Marek
The Wrap | publisher | Marek
The Wrap | location of formation | Elodis town park
Silvia Marek | notable work | The Wrap
COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT | employer | Kronos
Marek | notable work | The Wrap
The Wrap | location of formation | ABILA
COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT | notable work | The Wrap
Elodis town park | located in the administrative territorial entity | ABILA
ABILA | contains administrative territorial entity | Elodis town park
Kronos social action organization | location of formation | ABILA",529,2
760,"Abila | has part | 1997
Abila | inception | 1997
THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS | participant | president Araullo
1998 | point in time | GAStech inception
POK | located in the administrative territorial entity | 760
Karel | member of | POK
Kronos | affiliated with | POK
1993 | point in time | Juliana Vann birth date
Elian Karel | country | 760
Henk Bodrogi | member of | campaign POK
GAStech | inception | 1998
THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS | location of event | ABILA
POK | country | 760
president Araullo | participant in | THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS
Kronos | located in the administrative territorial entity | 760
Henk Bodrogi | affiliated with | office of the President
20 years | time period | Juliana Vann
2009/03/09 | point in time | THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS publication
Abila | has part | 26 years
ministers | located in the administrative territorial entity | 760
The Wrap | publication | THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS
Kronos government | participant in | THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS
Juliana Vann | employer | GAStech
Abila | has part | city Abila
ABILA | event | THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS
GAStech | employer | Juliana Vann
Abila | has part | Kronos
Henk Bodrogi | member of | POK
Karel | affiliated with | office of the President
Juliana Vann | birth date | 1993
Kronos | affiliated with | office of the President
city Abila | country | 760
Juliana Vann | time period | 20 years
general hospital Abila | located in the administrative territorial entity | 760
Jon L. | country | 760
Kronos | country | 760
Abila | has part | Jon L.
26 years | country | 760
GAStech | location | ABILA
Abila | has part | Elian Karel
Abila | located in the administrative territorial entity | 760
Henk Bodrogi | country | 760
POK | part of | office of the President
Abila | country | 760
THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS | participant | Kronos government
general hospital Abila | country | 760
city Abila | located in the administrative territorial entity | 760
Abila | has part | ministers
campaign POK | part of | office of the President
26 years | located in the administrative territorial entity | 760
ABILA | location of headquarters | GAStech
Kronos | affiliated with | campaign POK
Juliana Vann | affiliation | Kronos
Henk Bodrogi | located in the administrative territorial entity | 760
Saturday | point in time | THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS
Elian Karel | located in the administrative territorial entity | 760
Jon L. | located in the administrative territorial entity | 760
president Araullo | position held | Kronos government
THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS | participant | Juliana Vann
Abila | has part | general hospital Abila
Abila | has part | Henk Bodrogi
Karel | member of | campaign POK
Kronos government | location | Kronos
THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS | publisher | The Wrap
ministers | country | 760
Abila | has part | POK
Abila | has part | 760
THE COLLECTION POK DRAWS THOUSANDS OF PROTESTERS | publication date | 2009/03/09",892,0
761,"Carmine | place of detention | Elodis town prison
GAStech | location | Elodis
Marcellus Edris | place of detention | Elodis town prison
Kronos | location | Elodis
Elodis town prison | location | Elodis
research workers | profession | Elodis
The Wrap | location | Kronos
Commissioner Koppolis | employer | police force
Kronos | location | Kronos
Elodis town prison | inception | 25 years
Carmine | employer | GASTECH
Adian Koppolis | place of detention | Elodis town prison
Adian Koppolis | employer | GASTECH
GAStech | location | Kronos
research workers | employer | Commissioner Koppolis
GASTECH | inception | 25 years
Kronos | inception | 25 years
Valeria | employer | GASTECH
Abila | employer | GASTECH
The Wrap | location | Elodis
Elodis | location | Elodis
GAStech | inception | 25 years
GASTECH | location | Elodis
ELODIS | location | Elodis
ELODIS | inception | 25 years
The Wrap | inception | 2007/03/22
GASTECH | location | Kronos
ELODIS | location | Kronos
Abila | place of detention | Elodis town prison
Marcellus Edris | employer | GASTECH
Valeria | place of detention | Elodis town prison
Elodis | profession | truck driver
Celia | employer | GASTECH
Elodis | location | Kronos
truck driver | employer | Elodis
Celia | place of detention | Elodis town prison
Commissioner Koppolis | profession | police force
Elodis town prison | location | Kronos
Elodis | inception | 25 years",413,0
762,"ELODIS | population growth rate | 252%
Community center of health Elodis | population growth rate | 252%
municipal Internet site Elodis | located in the administrative territorial entity | ELODIS
The Wrap | located in the administrative territorial entity | ELODIS
SHEET 2004 OF THE PUBLIC HEALTH ELODIS | publication date | 2004/05/30
The Wrap | publication date | 2004/05/30
Kronos | located in the administrative territorial entity | ELODIS
Wellness | inception | 1998
Wellness | located in the administrative territorial entity | ELODIS
SHEET 2004 OF THE PUBLIC HEALTH ELODIS | located in the administrative territorial entity | ELODIS
Community center of health Elodis | inception | 1998
ELODIS | inception | 1998
Community center of health Elodis | located in the administrative territorial entity | ELODIS
Kronos | inception | 1998
municipal Internet site Elodis | inception | 1998
municipal Internet site Elodis | population growth rate | 252%",244,0
763,"THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | Wellness
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | general hospital
Nespola | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | phenol
vinegar anhydride | publication date | 2000/06/02
Abila | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | publication date | 1998
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | publisher | Elodis
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | The Wrap
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | Abila
Internet | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | 89%
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | Hyper Acidic
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | cancer
ELODIS | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | publisher | ELODIS
ethylene glycol | publication date | 2000/06/02
HASR | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | Internet
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | vinegar anhydride
general hospital | publication date | 2000/06/02
cancer | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | HASR
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | ethylene glycol
89% | publication date | 2000/06/02
Wellness | publication date | 2000/06/02
The Wrap | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | 1998
phenol | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | Nespola
lead | publication date | 2000/06/02
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | lead
THE SHEET OF THE PUBLIC HEALTH ELODIS - UPDATE | subject | Kronos
Elodis | publication date | 2000/06/02
Hyper Acidic | publication date | 2000/06/02
Kronos | publication date | 2000/06/02",7022,0
764,"cancer | has increase | 178%
Kronos | located in the administrative territorial entity | Abila
The Wrap | publication date | 2002/05/27
HASR | country | Abila
Hyper Acidic disposal of the substrate | country | Abila
municipal Internet site Elodis | country | Abila
minister of health Nespola | country | Abila
ELODIS | country | Abila
minister of health Nespola | position held | minister of health
general hospital | country | Abila
SHEET 2002 OF THE PUBLIC HEALTH ELODIS | part of | Kronos
Community center of health Elodis | country | Abila
ELODIS | located in the administrative territorial entity | Abila
Hyper Acidic disposal of the substrate | part of | HASR
SHEET 2002 OF THE PUBLIC HEALTH ELODIS | publication date | 2002/05/27
municipal Internet site Elodis | has information | SHEET 2002 OF THE PUBLIC HEALTH ELODIS
The Wrap | has information | SHEET 2002 OF THE PUBLIC HEALTH ELODIS
SHEET 2002 OF THE PUBLIC HEALTH ELODIS | information on | The Wrap
Wellness | located in the administrative territorial entity | Abila
Kronos | has part | SHEET 2002 OF THE PUBLIC HEALTH ELODIS
minister of health Nespola | located in the administrative territorial entity | Abila
HASR | has part | Hyper Acidic disposal of the substrate
Wellness | country | Abila
general hospital | located in the administrative territorial entity | Community center of health Elodis
Community center of health Elodis | has part | general hospital
Community center of health Elodis | located in the administrative territorial entity | Abila
Community center of health Elodis | inception | 1998
SHEET 2002 OF THE PUBLIC HEALTH ELODIS | information on | municipal Internet site Elodis
general hospital | located in the administrative territorial entity | Abila
Wellness | responsibility of | minister of health Nespola
cancer | country | Abila
cancer | located in the administrative territorial entity | Abila
minister of health Nespola | employer | general hospital
HASR | located in the administrative territorial entity | Abila
HASR | inception | 1998
general hospital | part of | Community center of health Elodis
municipal Internet site Elodis | located in the administrative territorial entity | Abila
minister of health Nespola | has responsibility | Wellness
178% | increase of | cancer
Hyper Acidic disposal of the substrate | has effect | cancer
Kronos | country | Abila
general hospital | employer | minister of health Nespola
cancer | has cause | Hyper Acidic disposal of the substrate
